ID_ESTADO|ID_DISTRITO_FEDERAL|SECCION|TIPO_CASILLA|ID_CASILLA|EXT_CONTIGUA|NUMERO_ARE|NUMERO_ZORE|TIPO_SECCION|LISTA_NOMINAL|ID_MUNICIPIO
3|2|329|C|1|0|107|19|U|612|4
3|2|397|C|3|0|112|20|U|737|4
4|1|9|B|1|0|3|1|U|677|1
4|1|9|C|3|0|3|1|U|677|1
4|1|35|C|1|0|12|2|U|491|1
4|1|20|B|1|0|17|3|U|573|1
4|1|60|C|1|0|42|7|U|484|1
4|1|79|E|1|2|45|8|U|555|1
4|1|91|C|1|0|60|11|U|596|1
4|1|99|C|1|0|64|11|U|634|1
4|1|105|C|1|0|52|9|U|714|1
4|1|105|C|7|0|53|9|U|714|1
4|1|109|C|1|0|72|13|U|629|1
4|1|109|C|2|0|72|13|U|629|1
4|1|129|B|1|0|78|14|R|525|1
4|1|158|B|1|0|106|19|R|441|2
4|1|181|E|1|0|109|19|R|191|2
4|1|177|B|1|0|114|20|U|619|12
4|1|377|C|1|0|123|22|U|576|5
4|1|393|B|1|0|127|23|R|157|6
4|1|421|C|2|0|148|26|R|611|11
4|1|425|B|1|0|147|26|R|602|11
4|2|191|C|1|0|10|2|U|721|3
4|2|212|B|1|0|20|4|U|389|3
4|2|217|C|1|0|22|4|U|633|3
4|2|244|C|2|0|40|8|U|700|3
4|2|244|C|5|0|41|8|U|700|3
4|2|245|B|1|0|38|6|U|537|3
4|2|249|B|1|0|44|6|U|652|3
4|2|263|B|1|0|55|10|R|536|3
4|2|263|C|1|0|55|10|R|536|3
4|2|474|B|1|0|70|12|R|291|3
4|2|478|C|1|0|70|12|R|651|3
4|2|492|B|1|0|59|1|M|581|3
4|2|497|B|1|0|65|8|U|462|3
4|2|499|B|1|0|65|8|U|508|3
4|2|303|C|1|0|98|16|U|398|4
4|2|538|C|4|0|77|13|R|618|4
4|2|302|B|1|0|140|24|R|304|10
4|2|458|C|1|0|117|19|U|473|9
4|2|461|C|1|0|114|18|U|619|9
4|2|475|B|1|0|123|20|U|490|9
5|1|10|C|5|0|25|6|U|697|2
5|1|18|C|1|0|15|3|U|591|2
5|1|22|B|1|0|14|3|U|410|2
5|1|29|C|1|0|13|2|U|607|2
5|1|34|C|4|0|35|2|U|669|2
5|1|41|C|8|0|33|4|M|682|2
5|1|515|B|1|0|68|12|U|580|22
5|1|515|C|2|0|68|12|U|579|22
5|1|586|C|4|0|82|15|U|673|25
5|1|587|C|9|0|80|14|U|699|25
5|1|623|C|2|0|103|17|U|739|25
5|1|624|C|1|0|105|18|U|545|25
5|1|628|B|1|0|105|18|U|704|25
5|1|1065|B|1|0|134|23|U|445|32
5|1|1068|C|1|0|134|23|U|547|32
5|1|1082|C|2|0|131|23|U|594|32
5|1|1088|C|1|0|142|25|U|620|32
5|1|1088|C|3|0|142|25|U|620|32
5|1|1683|C|1|0|40|8|M|523|2
5|1|1686|B|1|0|43|7|U|399|2
5|2|90|C|2|0|41|8|U|681|6
5|2|110|C|1|0|47|9|M|466|7
5|2|126|B|1|0|48|9|R|139|7
5|2|165|B|1|0|92|17|R|711|9
5|2|256|B|1|0|57|11|M|431|16
5|2|455|B|1|0|19|4|M|663|20
5|2|464|C|1|0|19|4|U|500|20
5|2|459|C|1|0|14|3|U|560|20
5|2|467|C|1|0|17|4|U|555|20
5|2|476|B|1|0|25|5|U|488|20
5|2|501|B|1|0|59|11|U|613|21
5|2|502|C|1|0|60|11|U|405|21
5|2|652|C|7|0|89|15|U|673|27
5|2|658|C|2|0|86|15|U|562|27
5|2|661|C|3|0|83|14|U|635|27
5|2|664|C|3|0|68|13|M|730|27
5|2|1040|C|2|0|50|10|U|522|31
5|2|1042|C|1|0|52|10|U|678|31
5|2|1115|C|2|0|130|24|U|704|33
5|2|1151|C|1|0|121|23|R|392|33
5|3|43|B|1|0|6|2|U|544|3
5|3|44|C|1|0|6|2|U|553|3
5|3|204|C|1|0|57|9|U|614|10
5|3|205|B|1|0|56|9|U|638|10
5|3|321|C|1|0|68|11|U|678|18
5|3|338|C|1|0|83|13|U|540|18
5|3|343|B|1|0|87|14|U|632|18
5|3|360|B|1|0|95|15|U|608|18
5|3|362|C|1|0|99|16|U|643|18
5|3|362|C|3|0|99|16|U|642|18
5|3|384|B|1|0|119|20|U|510|18
5|3|404|B|1|0|127|21|U|606|18
5|3|414|B|1|0|112|18|U|609|18
5|3|414|C|1|0|112|18|U|608|18
5|3|423|B|1|0|135|23|U|328|18
5|3|430|B|1|0|134|23|U|574|18
5|3|430|C|2|0|134|23|U|573|18
5|3|717|C|1|0|14|3|M|375|28
5|3|720|C|1|0|15|3|M|477|28
5|3|1502|C|1|0|3|1|U|667|37
5|4|731|C|4|0|13|3|U|693|30
5|4|752|C|1|0|41|8|U|696|30
5|4|755|C|11|0|49|9|U|717|30
5|4|755|C|14|0|50|9|U|717|30
5|4|763|C|1|0|26|5|U|718|30
5|4|868|B|1|0|103|19|U|686|30
5|4|869|C|7|0|116|21|U|736|30
5|4|899|C|1|0|63|12|U|417|30
5|4|940|C|1|0|70|13|U|477|30
5|4|943|C|5|0|82|15|U|702|30
5|4|946|C|7|0|99|18|U|676|30
5|4|949|C|2|0|107|19|U|736|30
5|4|950|C|1|0|101|18|U|666|30
5|4|980|C|1|0|78|14|U|675|30
5|4|980|C|2|0|78|14|U|675|30
5|4|1612|B|1|0|121|22|U|485|30
5|4|1623|B|1|0|119|22|U|616|30
5|4|1630|C|1|0|124|22|U|590|30
5|4|1631|B|1|0|124|22|U|578|30
5|4|1633|B|1|0|130|23|U|579|30
5|5|1179|C|2|0|8|2|U|606|35
5|5|1180|C|2|0|2|1|U|737|35
5|5|1184|C|6|0|10|2|U|696|35
5|5|1292|B|1|0|51|9|U|538|35
5|5|1320|C|2|0|106|19|U|690|35
5|5|1327|C|1|0|122|22|U|550|35
5|5|1332|B|1|0|131|23|U|589|35
5|5|1336|B|1|0|130|23|U|563|35
5|5|1340|C|1|0|126|22|U|509|35
5|5|1348|C|1|0|118|21|U|627|35
5|5|1350|C|10|0|110|19|U|712|35
5|5|1350|C|13|0|111|19|U|712|35
5|5|1366|B|1|0|117|21|U|415|35
5|5|1369|B|1|0|137|24|U|400|35
5|5|1406|C|1|0|82|14|U|701|35
5|5|1412|C|1|0|87|15|U|517|35
5|5|1420|C|1|0|83|15|U|570|35
5|5|1426|B|1|0|69|12|U|587|35
5|5|1438|B|1|0|52|9|U|397|35
5|5|1456|C|4|0|94|16|U|645|35
5|6|259|C|3|0|109|19|U|590|17
5|6|271|C|1|0|108|19|U|587|17
5|6|291|B|1|0|6|2|R|744|17
5|6|303|B|1|0|97|17|M|405|17
5|6|1172|B|1|0|16|3|U|652|35
5|6|1172|C|3|0|16|3|U|651|35
5|6|1310|C|6|0|35|6|U|732|35
5|6|1310|E|1|3|32|6|U|691|35
5|6|1353|C|1|0|56|9|U|583|35
5|6|1360|C|8|0|66|11|U|709|35
5|6|1360|C|15|0|68|11|U|709|35
5|6|1461|C|4|0|14|3|M|700|35
5|6|1465|B|1|0|20|4|U|739|35
5|6|1485|C|1|0|123|21|M|421|36
5|6|1528|C|1|0|69|12|U|433|35
