CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|PRS|MC|NVA_ALIANZA|MORENA|ES|PAN_PRD_PT_PRS|PAN_PRD_PT|PAN_PRD_PRS|PAN_PT_PRS|PRD_PT_PRS|PAN_PRD|PAN_PT|PAN_PRS|PRD_PT|PRD_PRS|PT_PRS|PRI_PVEM_NVA_ALIANZA|PRI_PVEM|PRI_NVA_ALIANZA|PVEM_NVA_ALIANZA|CAND_IND1|CAND_IND2|CAND_IND3|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|23.00|R|E01|30.00|27.00|5.00|0.00|6.00|2.00|1.00|0.00|22.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|17.00|0.00|111.00|4.00|115.00|156.00|||||1|1|1|ACAPONETA|23|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|24.00|R|B|46.00|196.00|59.00|4.00|7.00|3.00|7.00|2.00|161.00|4.00|1.00|0.00|0.00|0.00|0.00|9.00|0.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|1.00|3.00|52.00|0.00|557.00|23.00|580.00|732.00|||||1|1|1|ACAPONETA|24|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|25.00|R|B|3.00|13.00|8.00|0.00|0.00|1.00|0.00|3.00|22.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|22.00|0.00|73.00|7.00|80.00|109.00|||||1|1|1|ACAPONETA|25|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|26.00|R|B|38.00|17.00|10.00|0.00|5.00|1.00|0.00|0.00|20.00|1.00|2.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|29.00|0.00|125.00|6.00|131.00|191.00|||||1|1|1|ACAPONETA|26|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|27.00|R|B|46.00|40.00|26.00|0.00|5.00|7.00|1.00|1.00|55.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|2.00|0.00|1.00|1.00|40.00|0.00|227.00|15.00|242.00|492.00|||||1|1|1|ACAPONETA|27|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|28.00|R|B|31.00|106.00|21.00|0.00|2.00|0.00|3.00|1.00|41.00|0.00|0.00|0.00|0.00|0.00|0.00|6.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|18.00|0.00|230.00|10.00|240.00|350.00|||||1|1|1|ACAPONETA|28|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|29.00|R|B|14.00|29.00|11.00|1.00|2.00|1.00|4.00|0.00|21.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|0.00|16.00|0.00|102.00|8.00|110.00|149.00|||||1|1|1|ACAPONETA|29|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|30.00|R|B|24.00|44.00|6.00|1.00|0.00|0.00|4.00|1.00|65.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|21.00|0.00|168.00|7.00|175.00|232.00|||||1|1|1|ACAPONETA|30|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|31.00|R|B|19.00|70.00|5.00|1.00|4.00|0.00|3.00|2.00|102.00|1.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|28.00|0.00|237.00|9.00|246.00|289.00|||||1|1|1|ACAPONETA|31|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|32.00|R|B|24.00|200.00|9.00|2.00|0.00|0.00|3.00|1.00|33.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|1.00|16.00|0.00|291.00|4.00|295.00|351.00|||||1|1|1|ACAPONETA|32|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|33.00|R|B|138.00|96.00|60.00|9.00|11.00|2.00|12.00|5.00|78.00|3.00|5.00|1.00|0.00|1.00|1.00|3.00|0.00|0.00|1.00|0.00|0.00|2.00|0.00|1.00|0.00|3.00|3.00|32.00|0.00|467.00|37.00|504.00|739.00|||||1|1|1|ACAPONETA|33|R|
1.00|18.00|NAYARIT|1|1.00|ACAPONETA|1.00|ACAPONETA|34.00|R|B|45.00|41.00|15.00|0.00|2.00|1.00|5.00|1.00|24.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|46.00|0.00|183.00|4.00|187.00|281.00|||||1|1|1|ACAPONETA|34|R|
