CIRCUNSCRIPCION|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|ID_DISTRITO_LOCAL|CABECERA_DISTRITAL|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_SECCION|CASILLA|PAN|PRI|PRD|PT|PVEM|MC|NVA_ALIANZA|MORENA|PH|ES|PPG|COMUN_PRI_PVEM|COMUN_PRD_PT|VOTOS_CAND_NREG|VOTOS_VALIDOS|VOTOS_NULOS|VOTOS_TOTAL|LISTA_NOMINAL|ESTATUS_ACTA|TEPJF|OBSERVACIONES|RUTA_ACTA|ID_DTTO_FEDERAL_jul2020|ID_DTTO_LOCAL_jul2020|MUNICIPIO_jul2020|NOM_MUN_jul2020|SECCION_jul2020|TIPO_SECC_jul2020|OBSERVACION_MMGE_31jul2020
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C03|8.00|105.00|84.00|15.00|10.00|15.00|6.00|16.00|1.00|3.00|3.00|5.00|7.00|1.00|278.00|17.00|296.00|686.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C04|12.00|110.00|85.00|10.00|6.00|23.00|7.00|10.00|1.00|5.00|1.00|3.00|6.00|0.00|279.00|18.00|297.00|686.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C05|1.00|115.00|65.00|6.00|4.00|13.00|6.00|3.00|3.00|1.00|3.00|7.00|4.00|0.00|231.00|15.00|246.00|686.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C06|14.00|98.00|71.00|7.00|5.00|32.00|6.00|8.00|3.00|0.00|6.00|6.00|3.00|0.00|259.00|20.00|279.00|686.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C07|4.00|99.00|76.00|12.00|1.00|18.00|8.00|17.00|1.00|2.00|2.00|3.00|2.00|0.00|245.00|16.00|261.00|686.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C08|12.00|105.00|91.00|7.00|5.00|21.00|6.00|10.00|1.00|2.00|5.00|3.00|3.00|0.00|271.00|3.00|274.00|685.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1204.00|URBANA|C09|5.00|111.00|85.00|2.00|5.00|19.00|10.00|11.00|0.00|1.00|5.00|3.00|3.00|0.00|260.00|13.00|273.00|685.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1204|U|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1205.00|MIXTA|B|2.00|122.00|80.00|8.00|0.00|23.00|4.00|9.00|2.00|1.00|4.00|0.00|0.00|0.00|255.00|32.00|287.00|665.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1205|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1205.00|MIXTA|C01|7.00|114.00|92.00|8.00|7.00|25.00|2.00|5.00|3.00|1.00|1.00|6.00|9.00|0.00|280.00|13.00|293.00|665.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1205|M|
4.00|12.00|GUERRERO|7|1.00|CHILPANCINGO DE LOS BRAVO|29.00|CHILPANCINGO DE LOS BRAVO|1205.00|MIXTA|C02|7.00|122.00|74.00|9.00|6.00|22.00|3.00|16.00|1.00|2.00|2.00|4.00|3.00|0.00|271.00|12.00|283.00|665.00|Acta Casilla||||7|1|29|CHILPANCINGO DE LOS BRAVO|1205|M|
