V1,V2
-116.45,31.35
-116.46,31.35
-116.46,31.35
-116.46,31.36
-116.46,31.36
-116.47,31.37
-116.47,31.37
-116.47,31.38
-116.47,31.38
-116.48,31.39
-116.48,31.39
-116.48,31.40
-116.48,31.40
-116.49,31.41
-116.49,31.41
-116.49,31.42
-116.49,31.42
-116.49,31.43
-116.50,31.43
-116.50,31.43
-116.51,31.44
-116.51,31.44
-116.51,31.44
-116.52,31.45
-116.52,31.45
-116.53,31.45
-116.53,31.45
-116.54,31.46
-116.54,31.46
-116.55,31.46
-116.56,31.46
-116.56,31.46
-116.57,31.46
-116.57,31.47
-116.58,31.47
-116.59,31.47
-116.59,31.47
-116.60,31.47
-116.60,31.48
-116.60,31.48
-116.60,31.49
-116.61,31.49
-116.61,31.50
-116.61,31.50
-116.61,31.51
-116.62,31.51
-116.62,31.52
-116.63,31.52
-116.63,31.52
-116.64,31.52
-116.64,31.52
-116.64,31.53
-116.65,31.53
-116.65,31.54
-116.66,31.54
-116.66,31.54
-116.67,31.54
-116.67,31.55
-116.67,31.55
-116.68,31.56
-116.68,31.56
-116.68,31.57
-116.68,31.57
-116.67,31.58
-116.67,31.58
-116.66,31.58
-116.66,31.58
-116.65,31.58
-116.64,31.58
-116.64,31.59
-116.64,31.59
-116.64,31.60
-116.65,31.60
-116.65,31.60
-116.65,31.61
-116.65,31.62
-116.65,31.62
-116.65,31.63
-116.64,31.63
-116.64,31.64
-116.64,31.64
-116.64,31.65
-116.64,31.65
-116.64,31.66
-116.64,31.66
-116.64,31.67
-116.64,31.67
-116.64,31.68
-116.65,31.68
-116.65,31.69
-116.65,31.69
-116.65,31.70
-116.66,31.70
-116.66,31.71
-116.66,31.71
-116.67,31.71
-116.67,31.71
-116.68,31.72
-116.69,31.72
-116.69,31.72
-116.69,31.72
-116.70,31.73
-116.70,31.73
-116.71,31.73
-116.71,31.74
-116.72,31.74
-116.72,31.74
-116.72,31.75
-116.72,31.75
-116.71,31.75
-116.71,31.75
-116.70,31.75
-116.70,31.75
-116.69,31.74
-116.69,31.74
-116.68,31.74
-116.68,31.73
-116.67,31.73
-116.67,31.73
-116.66,31.73
-116.65,31.73
-116.65,31.73
-116.64,31.73
-116.64,31.73
-116.63,31.74
-116.63,31.74
-116.62,31.74
-116.62,31.75
-116.62,31.75
-116.61,31.75
-116.61,31.76
-116.61,31.77
-116.61,31.77
-116.61,31.78
-116.60,31.78
-116.60,31.79
-116.60,31.79
-116.60,31.80
-116.60,31.81
-116.60,31.81
-116.60,31.82
-116.60,31.82
-116.60,31.83
-116.60,31.84
-116.60,31.84
-116.61,31.84
-116.61,31.85
-116.61,31.85
-116.62,31.85
-116.62,31.86
-116.63,31.86
-116.63,31.86
-116.64,31.86
-116.65,31.86
-116.65,31.87
-116.66,31.87
-116.67,31.87
-116.67,31.87
-116.67,31.88
-116.68,31.88
-116.68,31.88
-116.68,31.89
-116.69,31.89
-116.69,31.89
-116.70,31.89
-116.71,31.90
-116.71,31.90
-116.72,31.90
-116.72,31.90
-116.73,31.91
-116.73,31.91
-116.73,31.91
-116.74,31.91
-116.74,31.92
-116.75,31.92
-116.75,31.92
-116.76,31.93
-116.76,31.93
-116.76,31.94
-116.76,31.94
-116.76,31.95
-116.76,31.96
-116.76,31.96
-116.77,31.97
-116.77,31.97
-116.77,31.97
-116.77,31.97
-116.77,31.97
-116.78,31.98
-116.78,31.98
-116.78,31.98
-116.79,31.98
-116.79,31.98
-116.80,31.98
-116.80,31.98
-116.81,31.97
-116.82,31.98
-116.82,31.98
-116.83,31.98
-116.83,31.98
-116.84,31.99
-116.84,31.99
-116.85,31.99
-116.85,32.00
-116.85,32.00
-116.86,32.01
-116.86,32.01
-116.86,32.01
-116.86,32.02
-116.87,32.02
-116.87,32.03
-116.87,32.03
-116.87,32.04
-116.87,32.04
-116.87,32.05
-116.87,32.06
-116.87,32.06
-116.87,32.07
-116.87,32.08
-116.87,32.08
-116.87,32.09
-116.87,32.10
-116.87,32.10
-116.87,32.11
-116.88,32.12
-116.88,32.12
-116.88,32.13
-116.88,32.13
-116.88,32.14
-116.88,32.14
-116.88,32.15
-116.88,32.16
-116.89,32.16
-116.89,32.17
-116.89,32.17
-116.89,32.18
-116.89,32.18
-116.89,32.19
-116.90,32.19
-116.90,32.20
-116.90,32.20
-116.90,32.21
-116.90,32.21
-116.91,32.22
-116.91,32.22
-116.91,32.23
-116.91,32.23
-116.92,32.24
-116.92,32.24
-116.92,32.24
-116.93,32.25
-116.93,32.25
-116.94,32.25
-116.95,32.25
-116.95,32.25
-116.96,32.26
-116.96,32.26
-116.97,32.26
