Fecha,AEROMEX,ARA,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,CEMEXCPO,CHDRAUIB,GCARSOA,GMEXICOB,GRUMAB,KIMBERA,KOF,LAMOSA,MEGACPO,MEXCHEM,MFRISCOA,PE¥OLES,VITROA
12/3/2012,23.76,4.095529,75.854263,14.589397,4.36,19.550587,29.108675,7.8004,31.956783,37.714123,35.414398,30.944279,19.004143,88.368828,13.104012,26.453106,41.052177,56.41,557.09613,16.724318
13/3/2012,23.889999,4.172804,75.422729,14.38367,4.36,19.550587,29.128277,7.96637,32.034367,37.751137,35.968838,30.722904,19.001526,88.377609,13.104012,26.27557,41.403042,55.310001,557.18512,17.211906
14/3/2012,23.65,4.182463,76.121811,13.981565,4.3,20.00738,29.255688,7.95847,31.772501,38.306305,35.907234,30.607403,19.358543,87.973549,13.104012,26.27557,40.964397,55.540001,544.617249,16.821835
15/3/2012,23.709999,4.192122,76.147705,13.570015,4.27,20.053059,28.96166,7.87153,32.170147,38.537621,36.118458,31.675774,19.222406,88.781685,13.195014,26.098034,40.867958,56.299999,554.965637,16.675558
16/3/2012,23.700001,4.2211,76.734589,13.280125,4.34,20.491579,29.010666,7.55541,32.247742,37.103439,36.259266,32.869274,19.466408,88.149216,13.549931,25.742958,41.245129,55,538.50238,16.724318
20/3/2012,23.65,4.172804,76.794998,13.31753,4.26,19.961697,28.75584,7.84782,32.014969,37.232983,35.68721,32.792274,19.715487,89.86216,13.104012,25.671944,41.060925,56.310001,534.295227,17.202156
21/3/2012,23.58,4.143825,76.855423,13.46715,4.29,20.11701,28.814646,8.16395,31.956783,37.926937,35.748817,32.696022,19.771961,92.37442,13.0221,25.387882,41.22757,57.66,552.639343,17.211906
22/3/2012,23.4,4.192122,75.888786,13.560663,4.25,20.180958,28.981262,7.99008,31.947079,37.094196,35.04475,32.003025,19.759171,91.504784,13.0221,25.387882,40.990711,56.939999,544.447754,17.260666
23/3/2012,23.200001,4.192122,77.977394,13.485853,4.32,20.162687,29.010666,8.01379,31.947079,36.955402,35.123962,31.666153,19.697535,90.881104,13.0221,25.299112,41.359161,56.549999,542.335327,17.426447
26/3/2012,23.1,4.2211,78.279457,13.46715,4.35,20.235775,29.27529,8.06911,32.587189,37.140457,35.845631,32.339897,20.003096,91.083153,13.0221,25.387882,42.631107,56,552.639343,17.455702
27/3/2012,23.049999,4.21144,77.425026,13.224018,4.34,20.327131,28.52062,8.16174,32.102257,37.001671,35.995243,32.060772,20.570671,93.033226,13.549931,25.210344,42.508259,57.369999,555.295532,17.309423
28/3/2012,22.9,4.250078,76.510193,13.139856,4.32,20.464165,29.010666,8.0631,32.053764,36.983166,35.423199,32.378403,20.53215,94.605583,12.931098,24.908529,42.762688,57,547.291199,16.773077
29/3/2012,23,4.153485,76.380737,13.224018,4.29,20.646881,29.216482,8.16996,32.044064,37.010918,35.326389,32.609402,20.804876,94.623177,12.922008,24.84639,42.98196,57.990002,549.965271,17.231409
30/3/2012,23.040001,4.153485,75.716171,13.326881,4.3,20.555525,29.265488,8.13708,32.383522,37.103439,35.519997,32.821148,22.285374,94.104897,12.931098,25.121572,43.201229,58.799999,551.56073,17.221661
2/4/2012,23,4.192122,77.675316,13.401692,4.25,20.10787,30.108366,8.1453,32.470802,36.668568,35.942444,33.004028,21.817846,93.81501,12.931098,24.588964,43.569675,58.75,569.040222,17.436197
3/4/2012,23.049999,4.134166,78.391663,13.280125,4.22,20.37281,29.990755,7.99735,32.480503,36.668568,35.898438,33.437149,21.662001,93.121086,12.931098,24.588964,43.508305,58.639999,566.080872,17.163147
4/4/2012,22.98,4.008596,79.306496,13.289476,4.15,19.961697,29.255688,7.82475,32.247742,35.993126,35.194374,32.773022,21.272404,89.449287,12.931098,24.855272,42.859119,56.759998,543.520691,17.163147
9/4/2012,22.84,3.921662,80.368065,13.018291,4.12,19.669355,29.853542,7.68502,31.908285,36.455753,34.560722,32.782646,21.584087,90.714203,12.931098,24.420301,42.806484,56.299999,542.727478,17.163147
10/4/2012,22.99,3.95064,80.69603,12.690902,3.99,19.824661,29.206682,7.38912,31.931921,36.825874,33.988655,33.196522,21.513954,90.65271,12.931098,24.074106,42.5434,55.259998,543.012756,16.383003
11/4/2012,22.93,4.047233,81.688545,12.821914,4.04,19.742441,29.873142,7.45488,32.088161,36.640808,34.569515,34.649895,21.272404,91.662888,12.931098,23.967583,42.98196,55.349998,541.051758,16.578041
12/4/2012,22.9,4.182463,83.095329,12.859319,4,20.646881,29.794737,7.59461,31.961212,36.983166,35.282379,35.679764,21.116556,91.504784,12.967557,23.585875,43.025852,56.75,540.971436,16.568289
13/4/2012,22.950001,4.124507,83.716736,12.53193,3.87,20.10787,29.931952,7.38091,32.410408,36.816616,35.282379,35.756763,20.882799,91.496002,12.967557,23.612507,42.104767,53.369999,534.812195,16.578041
16/4/2012,22.9,4.250078,84.260452,12.438417,3.91,20.235775,29.990755,7.23296,32.664303,36.761093,35.159164,34.601768,20.976297,91.785873,13.195014,23.106525,42.876701,56.799999,535.703552,16.578041
17/4/2012,23,4.250078,84.312256,12.438417,4.09,20.281452,30.099096,7.47132,32.615479,35.88208,35.933647,35.150391,20.882799,93.630562,13.377019,23.967583,43.473145,58.389999,542.290588,16.558537
18/4/2012,22.93,4.230759,85.442848,12.213986,4.16,20.190092,30.532459,7.39734,32.517826,36.067142,36.259266,35.612389,20.960716,91.715607,13.377019,23.967583,43.517048,58.459999,550.838745,16.578041
19/4/2012,22.950001,4.240418,86.262749,12.288796,4.08,20.180958,31.024918,7.26584,32.937729,36.076397,35.880833,36.084019,20.804876,91.759514,13.377019,24.056351,43.771374,58,554.422058,16.314741
20/4/2012,23.200001,4.192122,86.314545,12.859319,4.14,20.098736,31.093864,7.32337,33.318565,36.807354,35.845631,34.900139,21.116556,93.894081,13.377019,24.242764,43.595993,56.599998,561.855957,16.324492
23/4/2012,22.809999,4.114848,86.305916,12.625442,4.02,20.281452,31.507528,7.2494,33.006081,37.066444,35.599213,35.410263,21.568499,93.305534,13.286016,24.358164,42.946907,57.799999,560.037415,16.324492
24/4/2012,22.4,4.037573,87.548721,12.335552,3.96,20.190092,31.763605,7.35625,33.133026,38.76894,35.643223,35.747139,20.890589,93.340675,13.286016,24.038595,41.912067,58.060001,557.283203,16.09045
25/4/2012,21.59,3.998936,87.902573,12.260742,3.99,20.555525,31.556774,7.77543,33.474808,37.917686,35.423199,37.53738,20.726957,93.068359,13.286016,26.453106,42.35154,57.700001,557.987427,16.578041
